lottery_type,period_id,front_1,front_2,front_3,front_4,front_5,back_1,back_2
dlt,7001,22,24,29,31,35,4,11
dlt,7002,15,22,31,34,35,5,12
dlt,7003,3,4,18,23,32,1,6
dlt,7004,6,10,16,17,25,2,4
dlt,7005,1,9,19,20,30,2,11
dlt,7006,1,16,20,23,28,3,6
dlt,7007,14,16,25,26,35,4,9
dlt,7008,2,8,11,21,23,4,7
dlt,7009,1,3,9,19,34,9,12
dlt,7010,6,8,18,29,34,9,11
dlt,7011,29,32,33,34,35,9,10
dlt,7012,3,12,15,29,34,7,11
dlt,7013,12,17,27,29,34,6,9
dlt,7014,1,2,7,29,32,6,7
dlt,7015,2,8,12,13,17,11,12
dlt,7016,1,14,19,24,31,3,12
dlt,7017,13,14,29,32,34,3,12
dlt,7018,3,4,16,23,28,6,9
dlt,7019,3,6,17,22,23,4,6
dlt,7020,2,6,11,12,18,5,12
dlt,7021,2,4,24,29,33,1,2
dlt,7022,8,10,12,23,25,3,10
dlt,7023,8,10,23,32,34,8,10
dlt,7024,6,16,20,25,31,4,9
dlt,7025,22,24,26,27,34,2,10
dlt,7026,5,9,13,33,35,1,8
dlt,7027,2,3,10,19,27,6,10
dlt,7028,20,26,30,34,35,3,10
dlt,7029,15,22,25,29,35,9,11
dlt,7030,11,14,27,33,35,2,7
dlt,7031,3,21,27,31,32,6,8
dlt,7032,1,13,21,23,32,4,11
dlt,7033,1,5,8,14,22,3,12
dlt,7034,6,8,11,13,33,1,11
dlt,7035,7,11,16,31,32,2,12
dlt,7036,15,18,21,27,34,1,2
dlt,7037,1,6,7,17,31,11,12
dlt,7038,6,21,25,27,32,8,9
dlt,7039,10,20,11,21,35,7,11
dlt,7040,5,21,25,28,35,1,4
dlt,7041,3,16,17,22,35,1,8
dlt,7042,7,10,22,31,35,5,6
dlt,7043,4,9,22,34,21,2,10
dlt,7044,4,5,7,12,26,1,6
dlt,7045,9,16,20,26,35,11,12
dlt,7046,4,16,18,23,30,1,10
dlt,7047,1,6,15,19,35,2,9
dlt,7048,8,26,25,29,35,6,8
dlt,7049,9,10,15,17,32,4,6
dlt,7050,13,22,21,30,35,1,11
dlt,7051,3,7,24,28,35,8,11
dlt,7052,1,16,29,23,21,1,10
dlt,7053,11,19,16,21,35,3,10
dlt,7054,4,19,10,29,34,3,6
dlt,7055,10,16,24,31,33,7,10
dlt,7056,4,11,17,20,21,5,9
dlt,7057,14,30,16,32,35,6,7
