lottery_type,period_id,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
kl8,2025331,5,6,7,8,14,18,22,23,25,31,40,52,59,63,71,72,73,76,77,79
kl8,2025332,2,5,6,8,10,16,26,27,35,40,48,49,54,56,57,58,61,72,73,79
kl8,2025333,4,9,11,16,19,20,22,24,28,32,33,37,38,41,46,49,66,71,72,74
kl8,2025334,2,3,8,16,18,24,30,32,33,35,36,42,49,54,63,64,72,74,77,78
kl8,2025335,2,5,13,14,16,17,27,34,39,45,48,50,55,57,58,60,74,76,78,79
kl8,2025336,1,6,8,10,11,13,20,26,27,29,41,43,54,55,59,61,62,71,76,80
kl8,2025337,3,6,8,10,16,20,28,32,33,43,46,48,49,53,60,68,69,76,77,78
kl8,2025338,2,3,9,11,14,25,28,29,34,36,38,39,49,50,58,68,69,71,77,78
kl8,2025339,3,6,7,9,14,19,25,26,31,32,35,36,37,38,60,62,66,67,68,75
kl8,2025340,1,9,14,15,16,20,21,24,29,31,40,45,46,47,49,63,65,68,71,74
kl8,2025341,4,8,9,11,15,19,21,23,24,25,26,37,38,43,45,46,52,63,64,74
kl8,2025342,5,6,10,22,25,33,41,42,53,55,58,59,60,63,66,70,71,73,77,80
kl8,2025343,4,11,23,26,29,30,33,35,44,46,49,50,55,56,58,60,62,65,69,80
kl8,2025344,1,4,6,11,12,20,23,26,30,33,37,40,44,50,52,53,67,68,72,73
kl8,2025345,6,10,11,12,14,19,30,32,35,38,39,41,43,45,46,48,61,67,76,79
kl8,2025346,3,6,8,13,14,23,25,26,28,30,33,38,40,41,42,48,51,56,68,69
kl8,2025347,3,10,11,14,17,20,22,28,34,40,45,46,48,51,55,56,67,71,72,73
kl8,2025348,2,19,20,22,24,25,30,33,35,39,41,49,53,54,55,60,63,66,75,80
kl8,2025349,7,8,18,20,22,23,28,40,41,43,45,47,48,51,53,58,64,67,78,80
kl8,2025350,1,5,6,20,24,30,32,33,35,36,37,38,40,52,55,62,64,70,72,76
kl8,2025351,5,12,14,17,19,21,24,25,31,32,39,42,46,49,50,52,57,63,68,72
kl8,2026001,2,5,6,11,24,25,27,32,34,35,39,41,44,51,54,62,70,71,72,75
kl8,2026002,3,8,10,17,22,24,25,28,39,51,61,62,67,69,70,71,72,73,74,80
kl8,2026003,2,7,14,16,22,25,28,31,39,42,47,53,54,55,61,68,69,72,73,78
kl8,2026004,4,5,9,13,16,21,23,24,32,35,37,38,45,50,52,54,55,62,63,64
kl8,2026005,7,8,9,14,18,21,24,26,33,35,41,43,49,54,56,59,60,63,68,76
kl8,2026006,3,5,7,9,19,28,30,32,34,38,49,52,56,61,62,66,73,76,78,79
