lottery_type,period_id,d1,d2,d3,d4,d5
pl5,2004001,9,2,8,8,2
pl5,2004002,1,7,3,8,7
pl5,2004003,1,8,3,2,8
pl5,2004004,4,3,2,4,8
pl5,2004005,5,4,1,5,9
pl5,2004006,2,6,2,2,5
pl5,2004007,3,0,7,4,5
pl5,2004008,2,2,6,9,9
pl5,2004009,4,1,8,0,9
pl5,2004010,2,7,4,6,4
pl5,2004011,3,6,4,1,6
pl5,2004012,3,0,5,6,4
pl5,2004013,0,3,2,3,2
pl5,2004014,3,5,9,1,9
pl5,2004015,5,9,8,7,2
pl5,2004016,4,4,5,1,7
pl5,2004017,1,9,3,1,8
pl5,2004018,1,2,9,9,8
pl5,2004019,7,1,1,4,0
pl5,2004020,1,0,9,3,1
pl5,2004021,3,9,3,8,6
pl5,2004022,5,9,1,9,0
pl5,2004023,8,7,1,9,7
pl5,2004024,8,8,6,7,9
pl5,2004025,6,1,8,6,8
pl5,2004026,6,2,1,7,3
pl5,2004027,3,6,3,3,9
pl5,2004028,0,7,5,1,9
pl5,2004029,2,5,6,1,5
pl5,2004030,1,2,0,6,0
pl5,2004031,3,6,2,1,0
pl5,2004032,3,7,8,7,0
pl5,2004033,5,0,5,0,2
pl5,2004034,9,9,5,2,8
pl5,2004035,3,7,4,8,0
pl5,2004036,0,0,9,0,4
pl5,2004037,3,2,5,9,5
pl5,2004038,4,2,5,3,3
pl5,2004039,8,0,2,1,2
pl5,2004040,5,6,6,4,1
pl5,2004041,8,1,4,0,5
pl5,2004042,7,8,0,2,4
pl5,2004043,7,0,4,3,2
pl5,2004044,3,8,2,1,2
pl5,2005001,0,5,4,9,7
pl5,2005002,3,6,6,1,4
pl5,2005003,4,3,1,3,2
pl5,2005004,6,7,4,7,6
pl5,2005005,2,9,9,5,5
pl5,2005006,4,2,0,5,9
pl5,2005007,4,3,5,1,6
pl5,2005008,2,8,1,2,6
pl5,2005009,8,6,9,8,0
pl5,2005010,4,1,6,7,1
pl5,2005011,2,0,4,5,5
